% 1. Title: Face Biometrics Database
% 
% 2. Sources:
%      (a) Creator: Hugh Pearse
%      (b) Donor: University of Essex
%      (c) Date: October 2013
% 
@RELATION angles

@ATTRIBUTE row1  NUMERIC
@ATTRIBUTE row2  NUMERIC
@ATTRIBUTE row3  NUMERIC
@ATTRIBUTE row4  NUMERIC
@ATTRIBUTE row5  NUMERIC
@ATTRIBUTE row6  NUMERIC
@ATTRIBUTE row7  NUMERIC
@ATTRIBUTE row8  NUMERIC
@ATTRIBUTE row9  NUMERIC
@ATTRIBUTE row10  NUMERIC
@ATTRIBUTE file string

@DATA
40,31,57,40,180,180,180,25,65,27,admars.1.jpg
39,36,49,33,180,180,180,28,66,30,admars.20.jpg
45,31,51,37,180,180,180,29,65,27,admars.2.jpg
40,28,59,31,180,180,180,29,70,27,admars.3.jpg
41,34,51,35,180,180,180,27,66,27,admars.4.jpg
38,33,57,35,180,171,171,26,66,27,admars.5.jpg
41,27,58,33,180,180,180,30,68,30,admars.6.jpg
41,29,52,35,168,180,168,27,65,27,admars.7.jpg
41,35,54,32,180,180,180,27,70,27,admars.8.jpg
44,28,59,29,171,171,180,30,62,24,admars.9.jpg
38,38,54,35,180,180,180,24,66,24,ahodki.10.jpg
40,36,50,35,180,180,180,24,64,22,ahodki.11.jpg
36,36,60,32,170,180,170,22,63,22,ahodki.12.jpg
38,38,54,32,178,171,173,26,66,24,ahodki.13.jpg
37,38,55,32,180,180,180,23,63,27,ahodki.14.jpg
37,38,55,36,180,180,180,23,63,23,ahodki.15.jpg
37,35,119,37,180,180,180,23,65,23,ahodki.16.jpg
38,38,49,33,180,180,180,24,66,24,ahodki.17.jpg
33,40,48,34,180,180,180,22,68,26,ahodki.18.jpg
36,40,47,31,180,180,180,22,64,22,ahodki.19.jpg
43,34,49,29,167,167,180,28,66,26,ahodki.1.jpg
38,36,56,33,167,167,180,26,66,26,ahodki.20.jpg
39,31,56,33,180,170,170,28,66,22,ahodki.2.jpg
39,31,56,32,172,172,180,28,67,23,ahodki.3.jpg
48,36,40,25,180,180,180,29,63,23,ahodki.4.jpg
41,33,51,30,172,172,180,28,67,23,ahodki.5.jpg
45,34,56,33,171,171,180,26,63,23,ahodki.6.jpg
41,38,40,24,172,180,172,28,67,23,ahodki.7.jpg
46,34,50,25,168,168,180,28,64,22,ahodki.8.jpg
38,36,57,30,168,168,180,25,65,23,ahodki.9.jpg
45,41,45,26,180,180,180,26,66,26,ajflem.10.jpg
34,35,54,34,180,180,180,24,70,26,ajflem.11.jpg
38,43,45,33,180,180,180,25,72,25,ajflem.12.jpg
36,37,54,31,180,180,180,26,70,26,ajflem.13.jpg
38,39,49,31,180,180,180,26,70,26,ajflem.14.jpg
40,36,45,32,180,180,180,27,69,25,ajflem.15.jpg
38,44,45,33,172,180,172,25,68,25,ajflem.16.jpg
33,36,60,40,171,180,171,23,71,25,ajflem.17.jpg
36,36,60,33,180,180,180,25,70,28,ajflem.18.jpg
37,34,55,32,172,180,172,27,72,28,ajflem.19.jpg
38,44,45,33,180,180,180,25,68,25,ajflem.1.jpg
38,40,50,33,172,180,172,25,68,25,ajflem.20.jpg
38,40,50,33,180,180,180,25,68,25,ajflem.2.jpg
38,38,50,31,180,180,180,26,70,29,ajflem.3.jpg
30,41,59,36,170,180,170,21,69,25,ajflem.4.jpg
32,33,60,38,180,180,180,25,69,25,ajflem.5.jpg
35,36,54,31,180,180,180,25,69,25,ajflem.6.jpg
41,36,50,33,180,180,180,27,65,29,ajflem.7.jpg
37,39,50,33,180,180,180,25,69,25,ajflem.8.jpg
29,45,59,40,180,180,180,20,69,29,ajflem.9.jpg
39,33,56,35,180,180,180,25,63,26,ajones.10.jpg
34,36,50,35,171,180,171,22,61,25,ajones.11.jpg
38,32,58,32,180,180,180,24,62,26,ajones.12.jpg
34,35,58,32,179,170,171,22,62,22,ajones.13.jpg
31,34,58,39,171,180,171,22,62,22,ajones.14.jpg
38,28,56,31,170,170,180,27,62,22,ajones.15.jpg
36,31,59,34,172,172,180,25,67,26,ajones.16.jpg
34,36,56,36,172,172,180,22,61,21,ajones.17.jpg
38,34,56,32,170,170,180,24,62,22,ajones.18.jpg
39,30,54,34,180,180,180,25,63,22,ajones.19.jpg
38,33,49,37,180,180,180,23,63,22,ajones.1.jpg
38,30,56,34,180,180,180,24,62,22,ajones.20.jpg
35,34,59,38,180,180,180,21,63,22,ajones.2.jpg
35,36,49,37,170,180,170,21,63,19,ajones.3.jpg
31,34,61,41,180,180,180,21,63,26,ajones.4.jpg
33,36,56,38,180,180,180,20,61,21,ajones.5.jpg
34,37,56,32,171,180,171,22,62,22,ajones.6.jpg
33,38,48,37,180,180,180,20,61,21,ajones.7.jpg
33,35,59,40,172,180,172,20,62,21,ajones.8.jpg
30,32,114,39,180,180,180,20,62,22,ajones.9.jpg
45,31,50,27,180,180,180,35,70,28,ajsega.10.jpg
48,31,46,27,180,180,180,37,70,28,ajsega.11.jpg
48,33,45,23,180,180,180,35,69,27,ajsega.12.jpg
48,34,52,31,180,180,180,33,66,28,ajsega.13.jpg
44,30,50,24,180,180,180,34,73,27,ajsega.14.jpg
47,31,53,25,180,180,180,36,69,31,ajsega.15.jpg
48,28,49,26,180,180,180,36,68,30,ajsega.16.jpg
41,34,53,27,180,180,180,32,71,30,ajsega.17.jpg
45,28,55,24,180,180,180,35,70,30,ajsega.18.jpg
52,27,49,23,180,180,180,36,68,26,ajsega.19.jpg
47,31,46,27,180,180,180,36,69,27,ajsega.1.jpg
45,33,52,27,180,180,180,33,69,27,ajsega.20.jpg
48,30,45,27,180,180,180,37,69,27,ajsega.2.jpg
48,29,50,27,180,180,180,37,70,28,ajsega.3.jpg
47,29,53,29,180,180,180,36,73,27,ajsega.4.jpg
47,27,45,25,180,180,180,37,70,27,ajsega.5.jpg
47,31,46,26,173,180,173,37,70,27,ajsega.6.jpg
48,30,45,27,180,180,180,37,69,27,ajsega.7.jpg
47,27,52,26,180,180,180,37,73,30,ajsega.8.jpg
47,28,50,23,173,180,173,37,70,27,ajsega.9.jpg
34,38,46,29,171,180,171,24,70,26,akatsi.10.jpg
33,42,49,34,160,168,172,21,67,26,akatsi.11.jpg
32,42,53,34,161,171,170,21,68,26,akatsi.12.jpg
32,41,53,35,155,167,167,20,66,30,akatsi.13.jpg
32,38,46,31,168,168,180,23,68,30,akatsi.14.jpg
32,42,46,32,161,171,170,21,68,26,akatsi.15.jpg
32,41,46,33,157,167,170,20,66,26,akatsi.16.jpg
35,40,46,32,171,171,180,23,64,26,akatsi.17.jpg
32,41,53,35,157,167,170,20,66,26,akatsi.18.jpg
35,39,46,33,168,168,180,23,64,26,akatsi.19.jpg
38,39,46,28,170,180,170,24,66,26,akatsi.1.jpg
29,41,53,33,159,170,170,20,70,26,akatsi.20.jpg
31,39,54,36,168,168,180,21,67,26,akatsi.2.jpg
30,40,45,34,162,170,172,21,71,26,akatsi.3.jpg
29,41,50,35,160,167,172,19,70,31,akatsi.4.jpg
32,34,52,34,168,168,180,23,68,30,akatsi.5.jpg
33,42,48,37,180,180,180,21,67,30,akatsi.6.jpg
31,42,49,33,180,180,180,21,70,30,akatsi.7.jpg
33,42,49,34,168,168,180,21,67,26,akatsi.8.jpg
30,40,52,33,162,170,172,21,71,26,akatsi.9.jpg
41,36,55,34,180,180,180,29,65,27,ambarw.10.jpg
38,35,48,33,180,180,180,29,73,27,ambarw.11.jpg
39,35,44,30,170,180,170,30,71,27,ambarw.12.jpg
39,33,49,27,170,170,180,31,73,27,ambarw.13.jpg
38,35,49,32,180,180,180,29,73,27,ambarw.14.jpg
39,34,50,33,173,180,173,29,72,26,ambarw.15.jpg
38,31,49,32,180,180,180,29,73,27,ambarw.16.jpg
42,35,50,31,171,171,180,30,67,27,ambarw.17.jpg
42,28,50,29,173,173,180,33,70,27,ambarw.18.jpg
39,35,58,34,176,168,173,27,68,26,ambarw.19.jpg
42,32,45,33,180,180,180,32,68,26,ambarw.1.jpg
38,37,44,37,180,180,180,29,73,27,ambarw.20.jpg
43,32,43,29,180,180,180,32,70,26,ambarw.2.jpg
45,32,50,31,168,168,180,32,68,26,ambarw.3.jpg
42,36,45,30,180,180,180,33,69,27,ambarw.4.jpg
45,31,50,30,171,171,180,33,69,27,ambarw.5.jpg
46,27,56,29,168,168,180,34,66,28,ambarw.6.jpg
42,34,41,32,168,168,180,33,69,27,ambarw.7.jpg
46,35,38,29,180,180,180,32,70,26,ambarw.8.jpg
45,28,57,27,169,169,180,33,66,30,ambarw.9.jpg
31,39,57,39,167,180,167,22,66,26,anonym.10.jpg
45,30,45,31,169,180,169,34,64,24,anonym1.10.jpg
45,22,108,37,169,180,169,33,63,23,anonym1.11.jpg
46,25,50,29,168,180,168,32,66,28,anonym1.12.jpg
45,30,51,32,180,180,180,33,67,23,anonym1.13.jpg
42,30,45,28,169,180,169,32,68,24,anonym1.14.jpg
42,30,45,34,180,180,180,33,67,27,anonym1.15.jpg
45,29,49,36,157,169,169,34,64,24,anonym1.16.jpg
42,22,59,37,180,180,180,31,67,24,anonym1.17.jpg
45,26,51,34,171,180,171,32,68,24,anonym1.18.jpg
45,30,45,34,169,180,169,31,64,23,anonym1.19.jpg
34,41,51,35,171,180,171,23,67,27,anonym.11.jpg
45,23,62,39,170,180,170,31,65,27,anonym1.1.jpg
45,30,45,34,180,180,180,32,64,25,anonym1.20.jpg
35,37,49,37,171,180,171,23,67,29,anonym.12.jpg
45,25,45,30,180,180,180,33,70,28,anonym1.2.jpg
38,39,44,34,171,180,171,26,67,26,anonym.13.jpg
41,32,50,39,180,180,180,30,68,24,anonym1.3.jpg
35,42,44,41,180,180,180,23,67,26,anonym.14.jpg
44,26,57,39,171,180,171,31,67,23,anonym1.4.jpg
32,34,60,49,180,180,180,23,67,23,anonym.15.jpg
44,33,41,32,180,180,180,33,67,23,anonym1.5.jpg
35,39,53,38,180,180,180,23,67,26,anonym.16.jpg
45,30,40,34,180,180,180,34,64,24,anonym1.6.jpg
32,39,49,49,171,180,171,23,67,27,anonym.17.jpg
45,26,51,38,169,180,169,31,64,23,anonym1.7.jpg
33,40,45,41,168,168,180,21,67,26,anonym.18.jpg
45,22,59,38,180,180,180,32,68,25,anonym1.8.jpg
32,47,40,41,157,170,167,20,66,26,anonym.19.jpg
44,22,59,38,180,180,180,31,67,24,anonym1.9.jpg
32,39,45,38,171,180,171,23,67,27,anonym.1.jpg
34,39,55,40,180,180,180,22,66,26,anonym.20.jpg
39,36,52,32,169,180,180,27,70,27,anonym2.10.jpg
38,28,56,36,168,168,180,27,69,27,anonym2.11.jpg
39,27,56,34,180,180,180,29,70,24,anonym2.12.jpg
41,30,60,36,171,171,180,28,67,26,anonym2.16.jpg
46,26,49,29,180,180,180,33,69,25,anonym2.17.jpg
40,36,49,36,167,167,180,27,73,29,anonym2.18.jpg
41,25,105,48,170,180,170,29,70,28,anonym2.1.jpg
45,27,109,46,180,180,180,31,65,28,anonym2.2.jpg
42,37,49,44,169,169,180,29,71,31,anonym2.3.jpg
41,32,50,39,172,180,172,29,71,24,anonym2.4.jpg
38,32,50,32,173,180,173,28,70,29,anonym2.5.jpg
35,32,50,35,170,170,180,28,74,28,anonym2.6.jpg
40,23,108,35,180,180,180,31,70,28,anonym2.7.jpg
38,32,56,41,168,168,180,28,70,28,anonym2.8.jpg
48,23,107,41,180,180,180,33,68,26,anonym2.9.jpg
37,37,51,39,172,180,172,23,63,23,anonym.2.jpg
27,36,51,44,173,173,180,21,68,26,anonym.3.jpg
32,37,49,40,180,180,180,23,71,27,anonym.4.jpg
